"Step","train/loss","./SMOL_DPO_ALPHA_DIVERGENCE - train/loss__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/loss__MAX"
"405","0.7921","0.7921","0.7921"
"406","0.8146","0.8146","0.8146"
"407","0.9384","0.9384","0.9384"
"408","0.7861","0.7861","0.7861"
"409","1.0387","1.0387","1.0387"
"410","1.229","1.229","1.229"
"411","1.4537","1.4537","1.4537"
"412","0.5997","0.5997","0.5997"
"413","0.9813","0.9813","0.9813"
"414","1.1044","1.1044","1.1044"
"415","0.5714","0.5714","0.5714"
"416","1.0284","1.0284","1.0284"
"417","2.0362","2.0362","2.0362"
"418","2.0197","2.0197","2.0197"
"419","1.4541","1.4541","1.4541"
"420","1.5255","1.5255","1.5255"
"421","0.6985","0.6985","0.6985"
"422","1.2639","1.2639","1.2639"
"423","1.416","1.416","1.416"
"424","1.2573","1.2573","1.2573"
"425","1.4618","1.4618","1.4618"
"426","1.1623","1.1623","1.1623"
"427","0.4597","0.4597","0.4597"
"428","1.3021","1.3021","1.3021"
"429","1.2172","1.2172","1.2172"
"430","1.7785","1.7785","1.7785"
"431","1.1992","1.1992","1.1992"
"432","1.9667","1.9667","1.9667"
"433","1.0008","1.0008","1.0008"
"434","2.2435","2.2435","2.2435"
"435","1.2958","1.2958","1.2958"
"436","1.3489","1.3489","1.3489"
"437","1.5262","1.5262","1.5262"
"438","1.1732","1.1732","1.1732"
"439","1.9811","1.9811","1.9811"
"440","2.9214","2.9214","2.9214"
"441","1.936","1.936","1.936"
"442","2.3172","2.3172","2.3172"
"443","3.5909","3.5909","3.5909"
"444","2.193","2.193","2.193"
"445","1.3192","1.3192","1.3192"
"446","2.1425","2.1425","2.1425"
"447","2.2246","2.2246","2.2246"
"448","1.9509","1.9509","1.9509"
"449","0.6758","0.6758","0.6758"
"450","2.0342","2.0342","2.0342"
"451","0.7102","0.7102","0.7102"
"452","1.0682","1.0682","1.0682"
"453","3.2361","3.2361","3.2361"
"454","1.9799","1.9799","1.9799"
"455","2.4548","2.4548","2.4548"
"456","3.5344","3.5344","3.5344"
"457","1.5867","1.5867","1.5867"
"458","1.2257","1.2257","1.2257"
"459","1.366","1.366","1.366"
"460","2.1846","2.1846","2.1846"
"461","1.6373","1.6373","1.6373"
"462","1.0695","1.0695","1.0695"
"463","1.9346","1.9346","1.9346"
"464","1.8234","1.8234","1.8234"
"465","2.2132","2.2132","2.2132"
"466","2.314","2.314","2.314"
"467","0.8979","0.8979","0.8979"
"468","1.493","1.493","1.493"
"469","3.8353","3.8353","3.8353"
"470","2.8508","2.8508","2.8508"
"471","2.714","2.714","2.714"
"472","2.3029","2.3029","2.3029"
"473","2.2067","2.2067","2.2067"
"474","1.3814","1.3814","1.3814"
"475","2.452","2.452","2.452"
"476","3.5049","3.5049","3.5049"
"477","0.7753","0.7753","0.7753"
"478","0.7202","0.7202","0.7202"
"479","2.6816","2.6816","2.6816"
"480","0.9877","0.9877","0.9877"
"481","2.0933","2.0933","2.0933"
"482","3.2813","3.2813","3.2813"
"483","3.1263","3.1263","3.1263"
"484","3.263","3.263","3.263"
"485","1.8249","1.8249","1.8249"
"486","2.8911","2.8911","2.8911"
"487","2.2375","2.2375","2.2375"
"488","1.008","1.008","1.008"
"489","2.7618","2.7618","2.7618"
"490","1.3645","1.3645","1.3645"
"491","1.8451","1.8451","1.8451"
"492","1.8886","1.8886","1.8886"
"493","2.7189","2.7189","2.7189"
"494","1.9116","1.9116","1.9116"
"495","1.8273","1.8273","1.8273"
"496","0.8968","0.8968","0.8968"
"497","1.2911","1.2911","1.2911"
"498","3.0318","3.0318","3.0318"
"499","1.8583","1.8583","1.8583"
"500","2.5848","2.5848","2.5848"
"501","1.1355","1.1355","1.1355"
"502","1.5221","1.5221","1.5221"
"503","2.8578","2.8578","2.8578"
"504","0.8089","0.8089","0.8089"
"505","2.0978","2.0978","2.0978"
"506","3.4593","3.4593","3.4593"
"507","1.4726","1.4726","1.4726"
"508","1.1738","1.1738","1.1738"
"509","1.6232","1.6232","1.6232"
"510","2.4777","2.4777","2.4777"
"511","1.5268","1.5268","1.5268"
"512","3.3588","3.3588","3.3588"
"513","2.3537","2.3537","2.3537"
"514","1.794","1.794","1.794"
"515","1.797","1.797","1.797"
"516","1.306","1.306","1.306"
"517","1.7982","1.7982","1.7982"
"518","1.1652","1.1652","1.1652"
"519","1.7754","1.7754","1.7754"
"520","2.5707","2.5707","2.5707"
"521","1.9908","1.9908","1.9908"
"522","1.6694","1.6694","1.6694"
"523","1.3207","1.3207","1.3207"
"524","1.9354","1.9354","1.9354"
"525","1.6265","1.6265","1.6265"
"526","0.6183","0.6183","0.6183"
"527","1.6337","1.6337","1.6337"
"528","1.561","1.561","1.561"
"529","1.7358","1.7358","1.7358"
"530","3.0649","3.0649","3.0649"
"531","1.5692","1.5692","1.5692"
"532","1.3806","1.3806","1.3806"
"533","1.5629","1.5629","1.5629"
"534","3.129","3.129","3.129"
"535","2.2706","2.2706","2.2706"
"536","2.8711","2.8711","2.8711"
"537","1.3113","1.3113","1.3113"
"538","3.47","3.47","3.47"
"539","2.162","2.162","2.162"
"540","0.1042","0.1042","0.1042"
"541","3.0111","3.0111","3.0111"
"542","1.2324","1.2324","1.2324"
"543","1.636","1.636","1.636"
"544","2.5449","2.5449","2.5449"
"545","0.8115","0.8115","0.8115"
"546","1.9242","1.9242","1.9242"
"547","1.9904","1.9904","1.9904"
"548","1.5468","1.5468","1.5468"
"549","1.3537","1.3537","1.3537"
"550","2.3516","2.3516","2.3516"
"551","0.7292","0.7292","0.7292"
"552","1.2841","1.2841","1.2841"
"553","0.6999","0.6999","0.6999"
"554","1.409","1.409","1.409"
"555","2.0736","2.0736","2.0736"
"556","1.7124","1.7124","1.7124"
"557","1.7527","1.7527","1.7527"
"558","1.845","1.845","1.845"
"559","1.1314","1.1314","1.1314"
"560","1.759","1.759","1.759"
"561","1.5419","1.5419","1.5419"
"562","1.1742","1.1742","1.1742"
