"Step","train/rewards/chosen","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/chosen__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/chosen__MAX"
"250","-0.7766026854515076","-0.7766026854515076","-0.7766026854515076"
"251","-0.7542592883110046","-0.7542592883110046","-0.7542592883110046"
"252","-0.7999088168144226","-0.7999088168144226","-0.7999088168144226"
"253","-0.7105844616889954","-0.7105844616889954","-0.7105844616889954"
"254","-0.8596588373184204","-0.8596588373184204","-0.8596588373184204"
"255","-0.8747432827949524","-0.8747432827949524","-0.8747432827949524"
"256","-0.7491357326507568","-0.7491357326507568","-0.7491357326507568"
"257","-0.5095879435539246","-0.5095879435539246","-0.5095879435539246"
"258","-0.5711930394172668","-0.5711930394172668","-0.5711930394172668"
"259","-0.9382268190383911","-0.9382268190383911","-0.9382268190383911"
"260","-0.7124217748641968","-0.7124217748641968","-0.7124217748641968"
"261","-0.5291565656661987","-0.5291565656661987","-0.5291565656661987"
"262","-0.7539232969284058","-0.7539232969284058","-0.7539232969284058"
"263","-1.0346068143844604","-1.0346068143844604","-1.0346068143844604"
"264","-0.6811013221740723","-0.6811013221740723","-0.6811013221740723"
"265","-0.6469061374664307","-0.6469061374664307","-0.6469061374664307"
"266","-0.675711989402771","-0.675711989402771","-0.675711989402771"
"267","-0.7268673181533813","-0.7268673181533813","-0.7268673181533813"
"268","-0.9080867767333984","-0.9080867767333984","-0.9080867767333984"
"269","-0.8498177528381348","-0.8498177528381348","-0.8498177528381348"
"270","-0.922736644744873","-0.922736644744873","-0.922736644744873"
"271","-0.5243031978607178","-0.5243031978607178","-0.5243031978607178"
"272","-0.725648045539856","-0.725648045539856","-0.725648045539856"
"273","-0.9290444850921631","-0.9290444850921631","-0.9290444850921631"
"274","-0.9058597087860107","-0.9058597087860107","-0.9058597087860107"
"275","-0.5752229690551758","-0.5752229690551758","-0.5752229690551758"
"276","-0.5515143871307373","-0.5515143871307373","-0.5515143871307373"
"277","-0.5576369762420654","-0.5576369762420654","-0.5576369762420654"
"278","-0.7120905518531799","-0.7120905518531799","-0.7120905518531799"
"279","-0.577181875705719","-0.577181875705719","-0.577181875705719"
"280","-0.9562578201293945","-0.9562578201293945","-0.9562578201293945"
"281","-1.0258885622024536","-1.0258885622024536","-1.0258885622024536"
"282","-0.9019229412078857","-0.9019229412078857","-0.9019229412078857"
"283","-0.9947408437728882","-0.9947408437728882","-0.9947408437728882"
"284","-0.7802781462669373","-0.7802781462669373","-0.7802781462669373"
"285","-0.6771342158317566","-0.6771342158317566","-0.6771342158317566"
"286","-0.8832901120185852","-0.8832901120185852","-0.8832901120185852"
"287","-0.7413501739501953","-0.7413501739501953","-0.7413501739501953"
"288","-0.7715640664100647","-0.7715640664100647","-0.7715640664100647"
"289","-0.8722141981124878","-0.8722141981124878","-0.8722141981124878"
"290","-0.9581658244132996","-0.9581658244132996","-0.9581658244132996"
"291","-0.748725175857544","-0.748725175857544","-0.748725175857544"
"292","-0.8742855787277222","-0.8742855787277222","-0.8742855787277222"
"293","-0.6728634834289551","-0.6728634834289551","-0.6728634834289551"
"294","-0.7071601152420044","-0.7071601152420044","-0.7071601152420044"
"295","-0.7010641694068909","-0.7010641694068909","-0.7010641694068909"
"296","-0.7888294458389282","-0.7888294458389282","-0.7888294458389282"
"297","-0.771699070930481","-0.771699070930481","-0.771699070930481"
"298","-0.5623888969421387","-0.5623888969421387","-0.5623888969421387"
"299","-0.7353674173355103","-0.7353674173355103","-0.7353674173355103"
"300","-0.642106294631958","-0.642106294631958","-0.642106294631958"
"301","-0.7870721817016602","-0.7870721817016602","-0.7870721817016602"
"302","-1.048426628112793","-1.048426628112793","-1.048426628112793"
"303","-0.448519766330719","-0.448519766330719","-0.448519766330719"
"304","-0.6004505753517151","-0.6004505753517151","-0.6004505753517151"
"305","-1.009207010269165","-1.009207010269165","-1.009207010269165"
"306","-0.6747984886169434","-0.6747984886169434","-0.6747984886169434"
"307","-0.505602240562439","-0.505602240562439","-0.505602240562439"
"308","-0.9815242290496826","-0.9815242290496826","-0.9815242290496826"
"309","-0.7709524631500244","-0.7709524631500244","-0.7709524631500244"
"310","-0.6710703372955322","-0.6710703372955322","-0.6710703372955322"
"311","-0.5938840508460999","-0.5938840508460999","-0.5938840508460999"
"312","-0.7629520893096924","-0.7629520893096924","-0.7629520893096924"
"313","-0.7612026929855347","-0.7612026929855347","-0.7612026929855347"
"314","-0.9024055600166321","-0.9024055600166321","-0.9024055600166321"
"315","-0.7450733184814453","-0.7450733184814453","-0.7450733184814453"
"316","-0.7287906408309937","-0.7287906408309937","-0.7287906408309937"
"317","-0.829442024230957","-0.829442024230957","-0.829442024230957"
"318","-0.7212751507759094","-0.7212751507759094","-0.7212751507759094"
"319","-0.8223803639411926","-0.8223803639411926","-0.8223803639411926"
"320","-0.8300689458847046","-0.8300689458847046","-0.8300689458847046"
"321","-0.6647214293479919","-0.6647214293479919","-0.6647214293479919"
"322","-0.7477508783340454","-0.7477508783340454","-0.7477508783340454"
"323","-0.5825985670089722","-0.5825985670089722","-0.5825985670089722"
"324","-0.5391102433204651","-0.5391102433204651","-0.5391102433204651"
"325","-0.8471657633781433","-0.8471657633781433","-0.8471657633781433"
"326","-0.6513972282409668","-0.6513972282409668","-0.6513972282409668"
"327","-1.1779371500015259","-1.1779371500015259","-1.1779371500015259"
"328","-0.8891427516937256","-0.8891427516937256","-0.8891427516937256"
"329","-0.7968051433563232","-0.7968051433563232","-0.7968051433563232"
"330","-0.41066551208496094","-0.41066551208496094","-0.41066551208496094"
"331","-0.657055139541626","-0.657055139541626","-0.657055139541626"
"332","-0.5472768545150757","-0.5472768545150757","-0.5472768545150757"
"333","-0.46403342485427856","-0.46403342485427856","-0.46403342485427856"
"334","-0.9201616644859314","-0.9201616644859314","-0.9201616644859314"
"335","-0.8348729610443115","-0.8348729610443115","-0.8348729610443115"
"336","-0.3902346193790436","-0.3902346193790436","-0.3902346193790436"
"337","-0.8988437056541443","-0.8988437056541443","-0.8988437056541443"
"338","-0.7018800973892212","-0.7018800973892212","-0.7018800973892212"
"339","-0.556334376335144","-0.556334376335144","-0.556334376335144"
"340","-0.7664493918418884","-0.7664493918418884","-0.7664493918418884"
"341","-0.8270617723464966","-0.8270617723464966","-0.8270617723464966"
"342","-0.7775941491127014","-0.7775941491127014","-0.7775941491127014"
"343","-0.8335952758789062","-0.8335952758789062","-0.8335952758789062"
"344","-0.6553558111190796","-0.6553558111190796","-0.6553558111190796"
"345","-0.9839807748794556","-0.9839807748794556","-0.9839807748794556"
"346","-0.7333652973175049","-0.7333652973175049","-0.7333652973175049"
"347","-0.7948035001754761","-0.7948035001754761","-0.7948035001754761"
"348","-0.5733456611633301","-0.5733456611633301","-0.5733456611633301"
"349","-1.236546277999878","-1.236546277999878","-1.236546277999878"
"350","-0.709562361240387","-0.709562361240387","-0.709562361240387"
"351","-0.8090872168540955","-0.8090872168540955","-0.8090872168540955"
"352","-0.7422768473625183","-0.7422768473625183","-0.7422768473625183"
"353","-0.6369691491127014","-0.6369691491127014","-0.6369691491127014"
"354","-0.8134233355522156","-0.8134233355522156","-0.8134233355522156"
"355","-0.6029473543167114","-0.6029473543167114","-0.6029473543167114"
"356","-0.8393691778182983","-0.8393691778182983","-0.8393691778182983"
"357","-0.7000113129615784","-0.7000113129615784","-0.7000113129615784"
"358","-0.7405331134796143","-0.7405331134796143","-0.7405331134796143"
"359","-0.8504893779754639","-0.8504893779754639","-0.8504893779754639"
"360","-0.6585031747817993","-0.6585031747817993","-0.6585031747817993"
"361","-0.6320875883102417","-0.6320875883102417","-0.6320875883102417"
"362","-0.9625321626663208","-0.9625321626663208","-0.9625321626663208"
"363","-1.219539761543274","-1.219539761543274","-1.219539761543274"
"364","-0.8078649640083313","-0.8078649640083313","-0.8078649640083313"
"365","-0.6163514852523804","-0.6163514852523804","-0.6163514852523804"
"366","-0.8801108598709106","-0.8801108598709106","-0.8801108598709106"
"367","-1.1620123386383057","-1.1620123386383057","-1.1620123386383057"
"368","-0.6179309487342834","-0.6179309487342834","-0.6179309487342834"
"369","-1.0090388059616089","-1.0090388059616089","-1.0090388059616089"
"370","-0.7378848195075989","-0.7378848195075989","-0.7378848195075989"
"371","-0.741577684879303","-0.741577684879303","-0.741577684879303"
"372","-0.7401655912399292","-0.7401655912399292","-0.7401655912399292"
"373","-0.8869014382362366","-0.8869014382362366","-0.8869014382362366"
"374","-0.6744760274887085","-0.6744760274887085","-0.6744760274887085"
"375","-1.118571162223816","-1.118571162223816","-1.118571162223816"
"376","-0.5932630300521851","-0.5932630300521851","-0.5932630300521851"
"377","-0.7334551215171814","-0.7334551215171814","-0.7334551215171814"
"378","-0.5332586765289307","-0.5332586765289307","-0.5332586765289307"
"379","-0.6689306497573853","-0.6689306497573853","-0.6689306497573853"
"380","-0.7518152594566345","-0.7518152594566345","-0.7518152594566345"
"381","-0.7442277073860168","-0.7442277073860168","-0.7442277073860168"
"382","-0.7534598112106323","-0.7534598112106323","-0.7534598112106323"
"383","-0.826269805431366","-0.826269805431366","-0.826269805431366"
"384","-1.0621402263641357","-1.0621402263641357","-1.0621402263641357"
"385","-0.609013557434082","-0.609013557434082","-0.609013557434082"
