"Step","train/rewards/rejected","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MAX"
"150","-1.5613943338394165","-1.5613943338394165","-1.5613943338394165"
"151","-1.3374391794204712","-1.3374391794204712","-1.3374391794204712"
"152","-1.0704336166381836","-1.0704336166381836","-1.0704336166381836"
"153","-1.0408165454864502","-1.0408165454864502","-1.0408165454864502"
"154","-1.446781873703003","-1.446781873703003","-1.446781873703003"
"155","-1.3555148839950562","-1.3555148839950562","-1.3555148839950562"
"156","-1.6511600017547607","-1.6511600017547607","-1.6511600017547607"
"157","-1.3922805786132812","-1.3922805786132812","-1.3922805786132812"
"158","-1.3447372913360596","-1.3447372913360596","-1.3447372913360596"
"159","-1.1754463911056519","-1.1754463911056519","-1.1754463911056519"
"160","-1.619904637336731","-1.619904637336731","-1.619904637336731"
"161","-1.3073465824127197","-1.3073465824127197","-1.3073465824127197"
"162","-1.4292023181915283","-1.4292023181915283","-1.4292023181915283"
"163","-1.6527959108352661","-1.6527959108352661","-1.6527959108352661"
"164","-1.2534854412078857","-1.2534854412078857","-1.2534854412078857"
"165","-1.545804738998413","-1.545804738998413","-1.545804738998413"
"166","-1.4981880187988281","-1.4981880187988281","-1.4981880187988281"
"167","-1.076545238494873","-1.076545238494873","-1.076545238494873"
"168","-1.3040530681610107","-1.3040530681610107","-1.3040530681610107"
"169","-2.1168978214263916","-2.1168978214263916","-2.1168978214263916"
"170","-1.442896842956543","-1.442896842956543","-1.442896842956543"
"171","-1.1297154426574707","-1.1297154426574707","-1.1297154426574707"
"172","-1.489008903503418","-1.489008903503418","-1.489008903503418"
"173","-1.4350104331970215","-1.4350104331970215","-1.4350104331970215"
"174","-1.5852887630462646","-1.5852887630462646","-1.5852887630462646"
"175","-1.4200996160507202","-1.4200996160507202","-1.4200996160507202"
"176","-1.4985995292663574","-1.4985995292663574","-1.4985995292663574"
"177","-1.9454776048660278","-1.9454776048660278","-1.9454776048660278"
"178","-1.1430808305740356","-1.1430808305740356","-1.1430808305740356"
"179","-1.5268975496292114","-1.5268975496292114","-1.5268975496292114"
"180","-1.769874930381775","-1.769874930381775","-1.769874930381775"
"181","-1.4810268878936768","-1.4810268878936768","-1.4810268878936768"
"182","-1.6144630908966064","-1.6144630908966064","-1.6144630908966064"
"183","-1.5619240999221802","-1.5619240999221802","-1.5619240999221802"
"184","-1.5399280786514282","-1.5399280786514282","-1.5399280786514282"
"185","-1.7081502676010132","-1.7081502676010132","-1.7081502676010132"
"186","-1.2468650341033936","-1.2468650341033936","-1.2468650341033936"
"187","-1.3408851623535156","-1.3408851623535156","-1.3408851623535156"
"188","-1.2093316316604614","-1.2093316316604614","-1.2093316316604614"
"189","-1.2809468507766724","-1.2809468507766724","-1.2809468507766724"
"190","-1.2635738849639893","-1.2635738849639893","-1.2635738849639893"
"191","-1.3216967582702637","-1.3216967582702637","-1.3216967582702637"
"192","-1.375003457069397","-1.375003457069397","-1.375003457069397"
"193","-1.6495814323425293","-1.6495814323425293","-1.6495814323425293"
"194","-1.362072467803955","-1.362072467803955","-1.362072467803955"
"195","-1.5447417497634888","-1.5447417497634888","-1.5447417497634888"
"196","-1.640554666519165","-1.640554666519165","-1.640554666519165"
"197","-1.2695629596710205","-1.2695629596710205","-1.2695629596710205"
"198","-1.3438820838928223","-1.3438820838928223","-1.3438820838928223"
"199","-1.281115174293518","-1.281115174293518","-1.281115174293518"
"201","0","0","0"
"202","0.0001437002792954445","0.0001437002792954445","0.0001437002792954445"
"203","-0.005865263752639294","-0.005865263752639294","-0.005865263752639294"
"204","-0.019725512713193893","-0.019725512713193893","-0.019725512713193893"
"205","-0.060257688164711","-0.060257688164711","-0.060257688164711"
"206","-0.07047814875841141","-0.07047814875841141","-0.07047814875841141"
"207","-0.08048734068870544","-0.08048734068870544","-0.08048734068870544"
"208","-0.07127302885055542","-0.07127302885055542","-0.07127302885055542"
"209","-0.07714976370334625","-0.07714976370334625","-0.07714976370334625"
"210","-0.15788015723228455","-0.15788015723228455","-0.15788015723228455"
"211","-0.21740369498729706","-0.21740369498729706","-0.21740369498729706"
"212","-0.18371134996414185","-0.18371134996414185","-0.18371134996414185"
"213","-0.1942763775587082","-0.1942763775587082","-0.1942763775587082"
"214","-0.24038177728652954","-0.24038177728652954","-0.24038177728652954"
"215","-0.21954569220542908","-0.21954569220542908","-0.21954569220542908"
"216","-0.3213065266609192","-0.3213065266609192","-0.3213065266609192"
